JCR Cell Biology,JCR Psychopathol. & Dev. Disabilities,ACR Cell Biology,ACR Psychopathol. & Dev. Disabilities,RCR Cell Biology,RCR Psychopathol. & Dev. Disabilities
3.528,2.641,3.6,4,0.664789,0.740998
3.528,2.641,1.4,8.2,0.311706,1.610419
3.528,1.893,4.6,5.4,0.999201,1.156965
3.528,1.893,4.2,10.4,0.906335,1.872392
25.547,4.374,25.4,1.8,3.965858,0.39265
6.383,4.374,1.4,0.8,0.151989,0.15734
6.383,4.374,5,3.2,0.6985,0.68264
6.383,4.374,6,3.2,0.843931,0.71066
6.383,2.433,3,2.4,0.36533,0.43941
3.381,2.433,0.4,6,0.05132,1.288648
3.641,2.922,6.2,0.8,1.309036,0.143059
2.886,2.922,4,1.2,0.786044,0.268779
3.578,2.922,3.2,1,0.50905,0.245851
1.947,1.872,0.6,0,0.183318,0
6.068,1.872,18,0.6,2.109296,0.134897
6.068,1.872,2.6,4.4,0.388203,0.932646
6.068,3.038,2,2.4,0.334775,0.557547
6.068,3.038,6.8,10.4,1.153068,2.161499
6.068,3.038,3.6,4.8,0.419492,1.051002
6.068,3.198,9.2,2.2,1.259403,0.530128
4.336,3.198,18.2,1.2,2.736071,0.301802
4.336,3.198,7.2,18.6,1.079681,3.537377
4.336,3.198,7.2,4.8,1.137199,1.011186
4.336,3.198,7.2,2.8,1.097034,0.555797
4.895,3.198,1,9.6,0.137829,1.929441
1.565,3.198,1.8,12.4,0.227936,2.16722
4.472,3.198,7.2,6,0.825072,1.193679
4.472,3.222,1.8,17.8,0.281316,3.170711
4.472,3.222,5.8,0.4,0.827611,0.072977
2.801,3.222,1.2,5.6,0.218808,1.218923
1.932,3.222,1.8,6,0.279645,1.268621
4.451,3.222,4,1,0.647354,0.220713
4.451,3.222,4,1,0.54393,0.113115
3.684,3.222,2.8,1.4,0.485685,0.266472
3.684,2.057,3.6,0.2,0.620977,0.095434
3.684,2.057,3.8,2,0.606323,0.487267
3.684,2.057,6.8,6.2,1.153916,1.366277
3.268,2.057,1.4,1.6,0.254423,0.333719
3.268,1.85,1.4,7.4,0.182338,1.689757
4.466,1.85,6.4,1.4,1.182003,0.367466
5.675,3.088,20,3.8,2.951063,0.592707
7.885,5.045,1.2,6.6,0.185539,1.155186
15.678,5.636,4,2.2,0.699671,0.404161
1.776,5.636,11.2,2.2,2.905948,0.41677
1.776,5.283,2.6,6.2,0.773781,1.250471
1.776,2.809,5.6,3.4,1.210404,0.731085
1.776,1.992,5.6,3.6,0.951039,0.738319
1.776,2.376,3.4,4,0.907175,0.809039
1.776,4.43,3,1.6,0.512545,0.405136
1.776,4.43,1.6,7.2,0.503043,1.373176
5.332,2.035,8.6,3.6,1.276479,0.846773
2.7,2.035,7.2,2,1.638864,0.432781
3.131,2.035,2.6,4.8,0.548782,1.088958
4.308,2.035,5.2,1.2,0.620953,0.218634
3.518,2.035,1,0.2,0.159202,0.032651
3.518,2.035,2,8,0.263117,1.622782
2.122,2.035,0.2,4.6,0.042882,0.97277
2.365,2.035,9.6,6.4,1.418168,1.367543
2.365,2.035,6.8,6.6,1.137953,1.516701
9.425,2.035,23.6,0.2,3.070114,0.067472
9.425,2.035,1.6,3.8,0.180401,0.826476
6.42,2.035,8.4,1.4,1.230985,0.257763
6.42,2.027,2.6,1,0.26448,0.326483
6.42,2.027,14.8,0.8,1.855562,0.170018
3.994,2.027,1,3.4,0.127227,1.134547
3.994,2.027,2.6,1.4,0.358832,0.453576
3.994,2.027,5.4,10.6,0.88991,2.506231
3.994,2.027,1.6,7.8,0.208694,1.450574
6.028,2.027,4.4,3.8,0.564017,1.115827
6.028,2.027,3.4,2.8,0.419753,0.711603
6.028,2.027,1.4,4.6,0.160367,1.280249
6.028,2.027,7.2,5,0.852753,1.268273
6.028,2.027,8.4,2.4,1.084386,0.543617
6.028,2.879,3.2,10.2,0.412352,1.671157
6.028,2.117,6.2,5,0.748306,0.989264
6.028,2.516,4.6,1.8,0.575226,0.229182
6.028,4.001,1.8,4.6,0.241791,0.555504
4.121,3.318,1,0.6,0.120044,0.069052
4.8,2.614,2,2.8,0.355385,0.363873
13.156,2.966,20,4.2,2.115458,1.021081
13.156,2.966,6.6,1.4,0.828674,0.310165
13.156,2.966,7.8,6.4,0.959636,1.274844
13.156,2.062,10.4,2.2,1.371037,0.584753
13.156,5.745,6,14.6,0.776291,2.831934
2.55,5.745,5.4,10.6,0.864067,1.852274
3.742,5.745,7.2,2.2,1.285057,0.412435
5.462,5.745,2.6,7.4,0.429594,1.215554
4.067,3.401,4.2,5.6,0.676479,1.104987
4.088,6.151,1,14.2,0.149679,2.971308
4.088,6.151,2.8,14.6,0.439384,2.156561
5.862,6.151,6.2,6.2,1.019656,1.148448
2.329,6.151,2.4,3,0.439122,0.477009
2.329,6.151,2.6,3.4,0.424774,0.617146
2.329,6.151,2.2,7,0.349671,1.234212
2.329,1.113,2.2,1.8,0.356474,0.543135
2.329,1.113,3.6,1.8,0.63604,0.52843
2.329,1.252,2,0.4,0.321986,0.132726
2.329,1.622,2.2,3.6,0.502642,0.744717
2.329,1.622,2.6,1.8,0.401877,0.474832
2.329,1.622,0.2,0.2,0.035928,0.07691
2.329,3.275,5.6,4.2,0.96589,0.878067
2.329,3.275,1.6,1.2,0.23671,0.16296
2.329,3.275,3.8,3.8,0.620586,0.820602
2.329,3.275,2,3.4,0.277785,0.644809
28.751,3.275,17,3,2.083103,0.620095
17.623,3.275,21.6,4.2,2.788319,0.942905
17.623,2.489,84.2,0.4,12.43842,0.063504
26.218,2.489,7,3.6,0.771771,0.651503
26.382,2.197,36.2,6,6.042211,0.991227
26.382,2.207,19.8,0.4,2.789689,0.133645
26.382,2.207,14.2,8.4,2.545065,1.600316
15.664,2.207,7.6,0.8,0.893335,0.132721
31.921,1.318,45.8,16.2,6.294786,3.148067
24.52,2.619,15.4,2,2.363126,0.530709
4.377,4.684,3,14.8,0.397976,2.978569
13.41,3.144,4.2,2.2,0.555675,0.352657
13.41,3.144,10.4,15,1.263778,2.813883
13.41,4.081,7,4,1.047585,0.724051
13.41,2,1.8,4,0.192586,0.880417
6.954,0.727,8.8,1,0.975236,0.511076
6.954,0.727,10.6,1,1.392129,0.501148
6.954,0.727,4.4,0.8,0.644236,0.309889
6.954,0.727,8.8,1.2,1.230397,0.522732
6.44,0.727,3.2,0.6,0.399792,0.307523
4.621,1.123,4.2,0,1.042578,0
3.711,3.632,3.2,5,0.705005,1.440686
2.839,3.212,1.6,12,0.325421,2.815769
3.842,3.212,11.8,7.8,1.626092,1.3646
2.172,3.212,1.8,12.4,0.282051,2.189361
6.954,3.212,2.4,9,0.323861,1.713802
6.367,3.212,5.2,5,0.558305,1.08379
13.501,3.212,8,0.4,0.969146,0.086457
13.501,3.212,13.2,0.6,1.756827,0.114878
13.501,1.663,4,1,0.44231,0.26073
6.236,1.663,5.4,6.8,0.660101,1.765323
8.721,3.868,7.6,1.2,0.948508,0.285171
12.601,2.897,6.4,3,1.061929,0.595703
9.336,3.139,5.8,1.8,0.771657,0.361897
9.598,3.139,15.6,3,1.993965,0.58293
9.598,0.88,5.4,1,0.648676,0.258419
9.598,4.432,8.8,6,1.097699,1.39024
9.598,4.432,6,6,0.630559,1.220064
9.598,1.691,14.2,1.8,2.273309,0.39457
9.598,2.555,22.2,1.2,3.034455,0.307111
9.598,0.801,12.4,2.2,1.459256,0.430618
9.598,15.484,36,2.2,4.605469,0.308313
9.598,4.997,14.8,6.6,1.826504,1.292585
9.598,4.997,4.6,28.6,0.717461,4.929452
9.598,4.997,9.6,9.4,1.445652,1.657202
9.598,4.997,3,1.2,0.369985,0.266439
9.598,4.997,4.4,8,0.611688,1.432133
9.598,4.997,11.6,4.6,1.310869,1.012819
9.598,4.997,3.8,2.6,0.545709,0.509518
9.598,4.997,11.4,4.4,1.42164,0.8245
9.598,4.997,3.8,1.4,0.538471,0.232968
9.598,4.997,11,7.4,1.497223,1.401826
9.598,4.997,3.2,4.8,0.400646,0.850267
9.598,1.793,11.4,0.6,1.393037,0.146134
9.598,1.793,11,1.8,1.883594,0.363011
9.598,1.793,10.4,3,1.405272,0.516425
9.598,4.214,7.6,13.2,1.029322,3.395401
9.598,1.143,3.6,0.8,0.525229,0.186577
9.598,1.143,9.4,3.2,1.251895,0.796339
9.598,1.143,6.4,0.2,1.009969,0.082971
9.598,2.097,12.4,11.8,1.615925,2.448805
9.598,2.097,5.2,3.2,0.814815,0.518764
9.598,2.097,8.6,3.4,1.210516,0.738145
9.598,2.097,4.6,2.8,0.522272,0.538349
9.598,2.097,6.2,7.2,0.901253,1.165668
9.598,2.097,11.6,3.8,1.847481,0.919415
10.467,2.097,6.2,0.8,0.997501,0.271381
7.725,2.097,9.8,4,1.622982,0.898261
1.94,2.097,2.2,0.6,0.333671,0.13972
2.202,1.333,2.6,0.4,0.531302,0.154062
3.088,1.563,2.2,2.6,0.546042,0.616621
3.088,5.594,7.8,9.4,1.276673,1.812946
5.84,5.594,5.8,7.8,0.691071,1.317414
26.372,5.594,6.4,7.6,0.805421,1.611641
6.482,5.594,5.6,4,0.706959,1.076845
3.325,2.58,0.6,10.2,0.136163,2.571523
2.499,2.58,7.2,4.8,1.282509,1.155981
1.493,2.58,1.6,0.6,0.134819,0.13375
7.531,2.58,3.2,8.6,0.397459,1.8288
2.524,2.408,1.6,3.4,0.221107,0.733184
5.487,2.408,3.4,4,0.530625,0.931206
5.487,2.408,20.2,4.8,3.057777,1.158123
4.009,2.408,14.6,6.8,1.887648,1.742539
2.689,2.408,4.4,2,0.800608,0.533781
2.689,1.521,1.8,1.8,0.381303,0.460602
8.662,4.364,8.2,2.4,0.962656,0.385494
8.662,1.436,5.2,4.4,0.633387,1.345248
8.662,1.436,3,3.4,0.313938,1.073873
8.662,1.436,14.8,1,1.560372,0.233814
8.662,2.209,10.6,0.8,1.178884,0.149929
8.662,5.535,4.8,4.6,0.628473,0.793523
8.662,1.318,8.8,2.4,1.277318,0.744227
3.673,1.472,4.6,0.4,0.732305,0.072115
3.673,2.92,5.6,2,0.967872,0.284267
2.83,3.857,0.4,7.6,0.045197,1.479638
5.581,3.857,10.8,3.8,1.623785,0.706367
5.581,4.718,11.8,19.6,1.585613,3.154772
5.581,3.684,10.2,4.6,1.276262,0.783495
5.581,3.684,8.4,2.8,1.320294,0.729366
5.581,3.684,2.4,10.2,0.33648,2.906397
5.581,3.684,9.4,6.4,1.661401,1.076206
5.581,3.684,1.2,4.8,0.184942,0.819852
5.581,3.684,3.8,2.6,0.553681,0.680601
5.581,3.684,0.8,2.6,0.074222,0.459788
5.581,3.684,2.2,6,0.266164,1.125196
5.581,3.684,2.8,1.6,0.431862,0.342978
5.581,3.684,13.2,5.2,1.809584,0.900196
5.581,3.684,2.8,5.2,0.356142,0.916306
5.581,3.684,4.6,3.6,0.56456,0.621467
5.581,3.684,3.4,4.6,0.497883,0.878
5.581,3.684,9,2,1.391228,0.634144
5.581,3.684,4.6,14,0.685385,3.368874
5.581,3.684,9.6,4.4,1.52632,0.723563
5.581,1.99,3.6,0.6,0.408574,0.139031
5.581,2.359,2,0.8,0.296872,0.139018
5.581,3.045,7.2,5.4,1.079012,1.321723
5.581,3.045,6.4,6.4,0.794087,1.388172
5.581,3.045,11.6,9,1.614197,1.836
5.581,3.133,3.6,3.2,0.569151,0.809814
5.581,3.133,1.4,1.8,0.18197,0.438969
5.581,3.133,12.6,8.4,1.612153,2.255014
5.581,3.133,5.2,4.6,0.692629,1.012563
5.581,3.133,5,2.2,0.604801,0.558033
5.581,3.133,3.4,4.6,0.405784,0.962973
5.581,3.71,7.2,9.2,1.194097,1.889757
5.581,0.5,4.6,0.6,0.579434,0.206372
9.598,1.452,7,1.2,0.948828,0.43039
9.598,1.452,10.6,1.4,1.313031,0.379478
9.598,1.452,24.4,2,3.238855,0.778072
9.598,1.452,10,1.4,1.27401,0.374915
9.598,1.452,11.2,1.6,1.278399,0.456581
9.598,1.452,4.4,0.4,0.723938,0.112528
9.598,1.452,12.4,1,1.633735,0.290516
9.598,1.452,6.2,3,0.784893,0.842633
9.598,1.452,7.2,3.8,0.947286,1.606528
9.598,1.452,23.4,1.6,4.157898,0.525035
16.915,1.452,2.4,4.4,0.348024,1.383979
3.915,1.452,6.2,10,0.847172,2.577353
3.915,2.093,3.2,3.4,0.42542,0.777509
3.915,2.093,2.6,1.2,0.470249,0.190113
3.915,4.655,3.2,1,0.479671,0.222863
3.915,4.655,2,5.8,0.270243,1.310868
3.915,4.655,2.8,6.2,0.420523,1.191986
2.972,1.18,2.4,3.4,0.338773,0.803697
3.544,1.18,1,4,0.156543,0.949914
4.831,1.18,2.8,3.8,0.451648,1.232728
1.964,1.18,0.4,2.4,0.060269,0.507506
2.527,1.18,2,2.6,0.426375,0.532826
7.49,1.18,3,3.4,0.442218,1.047715
7.49,1.18,4.8,0.6,0.655105,0.096916
7.49,1.18,4.8,1,0.680923,0.139262
7.49,2.402,5.4,10.4,1.192151,2.320578
7.49,2.402,1.6,3,0.216172,0.637657
7.49,2.402,8.2,6,1.292051,1.343541
7.49,2.402,6.6,4.2,1.06142,0.969076
7.49,1.585,5.2,1.6,0.828023,0.422164
7.49,1.585,3.2,7.6,0.501426,1.373064
7.49,1.585,4.8,2.6,0.799117,0.653431
7.49,3.791,3,0.6,0.437027,0.12776
7.49,0.953,2.4,1.2,0.39676,0.301631
7.49,0.953,6.6,0.4,0.960144,0.168297
7.49,10.169,6.6,15,1.09388,2.176967
7.49,1.404,13.6,0.8,1.982432,0.204349
7.49,1.267,7.6,0.6,1.159931,0.211837
7.49,1.267,2,2.4,0.301438,0.529725
7.49,1.267,8,2.4,1.141914,0.401771
4.003,4.037,1.6,3.8,0.330018,0.77357
4.58,4.037,4.8,6.4,0.73185,1.206716
4.58,4.037,3.6,1.8,0.470008,0.348523
4.58,4.037,1,1,0.17169,0.180702
4.58,4.037,2.6,3.2,0.395314,0.499695
4.58,2.257,4,3,0.661646,0.611423
4.58,1.486,3.6,1,0.58718,0.247071
4.58,3.131,1.4,3.8,0.222729,0.664353
6.533,1.604,3.6,2.4,0.43657,0.619661
6.533,1.604,3.6,2,0.417214,0.425752
6.533,1.604,2.2,1.6,0.257762,0.375016
14.994,1.604,14.8,5.8,1.700865,1.620389
13.527,1.604,19.2,3.8,2.530877,1.028209
9.729,1.604,3,0.8,0.459686,0.274147
12.479,1.604,10,2.2,1.666799,0.415206
2.055,1.604,0.2,3.6,0.027734,0.847169
2.055,1.604,1.8,1.2,0.311744,0.331602
2.055,1.604,2.2,0.6,0.396672,0.167009
2.055,1.604,3,1.6,0.517056,0.423594
2.055,1.604,5.8,2.8,0.784525,0.516375
2.055,1.403,0.6,1.4,0.197436,0.314087
2.055,2.224,17.8,3.4,3.1936,0.865581
2.055,2.224,2.2,7.6,0.440993,1.54796
2.055,2.224,12.2,7.6,2.203543,2.226094
2.055,2.224,2,4.6,0.351727,0.901525
2.055,2.224,6.4,7,1.508084,1.951173
1.612,4.067,0.6,2.8,0.122731,0.50032
1.612,1.347,1,2.4,0.164535,0.426174
1.612,1.347,0.8,19.4,0.156223,5.03471
1.612,3.207,3.2,0.6,0.659681,0.130842
1.612,3.207,4.2,6.8,0.673616,1.235703
1.612,3.207,2.6,4.4,0.448537,0.716389
1.612,2.424,1.4,1.4,0.222046,0.417178
1.612,4.339,0.8,6,0.109282,0.974637
1.612,4.339,1.8,26.8,0.300589,5.325155
1.612,23.308,3.2,10.8,0.514176,1.995068
