JCR,RCR,Journ
1.582,0.910661997,Am J Primatol
2.53,0.402897821,Comp Biochem Phys C
9.596,0.34971679,Angew Chem Int Edit
1.468,0.524348648,Hematol Oncol Clin N
0.506,0.378225944,Acta Crystallogr F
3.696,0.694160241,Org Biomol Chem
4.008,0.589349424,Biochemistry-Us
6.004,2.886422536,J Bone Miner Res
9.023,1.346394287,J Am Chem Soc
6.355,0.966027611,J Biol Chem
3.773,0.790457378,J Dent Res
9.898,0.249350532,Blood
1.971,0.233316212,Ann Ny Acad Sci
10.558,0.794198755,Blood
6.44,0.889457125,Oncogene
3.145,0.978396207,J Neurobiol
8.689,0.49478758,Trends Genet
6.486,0.039082233,J Immunol
5.52,0.671923557,J Biol Chem
31.853,1.515502271,Science
8.58,1.551449045,J Am Chem Soc
3.597,0.81540631,Invest Ophth Vis Sci
7.419,0.9985887,J Am Chem Soc
27.27,0.81112432,Nat Nanotechnol
3.11,0.402708249,J Neurol Neurosur Ps
3.374,1.293447501,J Neurosci Res
3.159,0.739578163,Psychophysiology
5.308,1.579734387,J Virol
5.748,0.377512231,Stroke
4.351,1.409492186,Plos One
3.258,0.468431004,Am J Physiol-Gastr L
3.848,0.577710242,Biochemistry-Us
7.781,2.151061244,Stem Cells
1.96,0.345327291,Clin Exp Pharmacol P
3.675,1.225508216,J Org Chem
8.142,2.859123935,Mol Cell Biol
3.638,0.447433843,J Cell Physiol
7.271,1.0459096,J Neurosci
4.1,0.435909545,Chembiochem
7.453,0.723122786,J Neurosci
4.535,0.241029891,Cell Res
4.156,1.666903069,Exp Neurol
6.482,1.347350535,J Biol Chem
2.494,0.140683187,Brain Res
6.603,1.58851044,Am J Clin Nutr
6.291,0.480340956,J Thromb Haemost
5.342,1.469851064,Hypertension
2.906,0.764718563,J Pharm Sci-Us
5.045,0.501729861,Endocrinology
4.122,0.583614245,J Gerontol A-Biol
6.482,0.591176376,J Biol Chem
2.085,0.311978827,Neurosci Lett
3.212,0.768078712,Stem Cell Res Ther
9.635,0.328485669,Genome Res
3.539,1.233438868,Am J Physiol-Heart C
3.94,1.119269425,J Bacteriol
5.542,1.057663245,J Mol Biol
5.225,0.377313835,J Virol
3.297,0.616087109,J Org Chem
3.483,0.53851316,J Neurophysiol
3.226,0.331181178,Biochemistry-Us
5.457,1.321556912,Neuroimage
4.825,1.217374524,J Neurochem
7.293,0.363635934,Development
6.394,0.523640616,Am J Transplant
7.517,1.279044288,Mol Biol Cell
3.604,0.255934225,Eukaryot Cell
3.38,2.085619971,Neuroscience
3.405,1.005286071,Am J Physiol-Reg I
2.694,0.516962635,Gene
26.218,0.734143154,Nat Immunol
7.271,1.160443513,J Neurosci
5.178,0.162245669,J Virol
29.781,15.60644742,Science
1.36,1.132543784,Curr Eye Res
7.514,1.397977427,Cancer Res
9.643,0.951658835,P Natl Acad Sci Usa
2.147,0.252749221,J Speech Lang Hear R
4.153,1.147468154,Antimicrob Agents Ch
3.922,0.76751619,Biochemistry-Us
6.004,0.59017997,J Bone Miner Res
6.236,2.582457145,Plos Comput Biol
2.869,0.852860723,Physiol Behav
4.431,0.531834174,Am J Physiol-Endoc M
2.701,1.191044138,Peptides
5.178,0.628106021,J Virol
3.909,1.361459026,Neuropharmacology
2.469,0.815545963,J Cancer Res Clin
1.967,0.128554546,Neurosci Lett
7.885,1.556337761,J Am Chem Soc
4.752,0.274367263,Endocrinology
5.937,0.762561866,Neuroimage
2.474,0.409802943,Brain Res
5.854,0.392803398,J Biol Chem
10.94,1.824989135,Circulation
14.204,0.808850111,J Clin Invest
9.681,0.318633597,P Natl Acad Sci Usa
7.586,1.371937986,Clin Pharmacol Ther
2.85,0.598160097,Bmc Neurosci
2.905,1.967494623,Steroids
2.092,0.77620608,J Neurosci Meth
2.013,0.343024914,Metabolism
29.781,2.02300899,Science
7.696,1.099069207,J Am Chem Soc
1.545,2.180606382,Ieee T Ultrason Ferr
4.531,0.654236602,Mol Pharmacol
2.203,0.340049012,Genet Epidemiol
2.61,1.087186866,Epilepsy Behav
5.462,0.429593972,Mol Microbiol
9.663,3.807460947,J Am Soc Nephrol
3.603,0.179573824,J Phys Chem B
6,0.353629357,J Immunol
6.115,1.017958078,J Lipid Res
5.128,0.353786442,Org Lett
4.613,0.497743394,Inflamm Bowel Dis
6.482,0.139425812,J Biol Chem
3.474,0.554413025,Chembiochem
7.696,3.343563605,J Am Chem Soc
2.32,0.343935249,Biometals
1.333,0.499458227,Atten Percept Psycho
3.582,1.613799353,Invest Ophth Vis Sci
3.712,0.158168195,Am J Physiol-Heart C
10.452,3.205608103,P Natl Acad Sci Usa
3.08,0.075167538,Virology
4.962,0.75317836,J Gen Physiol
7.49,0.474639646,J Neurosci
34.284,1.800774079,Nat Genet
3.192,1.397282344,Ann Hum Genet
10.432,0.78706673,Blood
14.439,1.416435257,Neuron
2.467,0.210819598,Transgenic Res
16.811,4.281999428,Mol Cell
6.482,0.51687095,J Biol Chem
1.418,0.633445286,J Addict Dis
3.525,0.343390189,Virology
9.425,0.39949961,Mol Cell Proteomics
5.542,0.857006989,J Mol Biol
3.987,0.898871585,Infect Immun
0.439,0.461304984,Psychol Rep
4.148,1.181056689,Mol Pain
4.283,0.295526806,J Gen Physiol
3.933,1.211042603,Infect Immun
2.65,0.307363455,Bioorg Med Chem Lett
9.575,0.780853167,J Cell Biol
6.482,1.057822167,J Biol Chem
4.008,0.201259395,J Mol Biol
3.469,0.067766919,Int J Cardiol
8.261,0.546805473,Diabetes
1.779,0.478988236,Viral Immunol
7.69,0.981981407,Cancer Res
7.69,0.36522433,Cancer Res
14.17,1.733571776,Neuron
7.467,1.993216569,Schizophrenia Bull
4.89,0.520279215,J Mol Biol
6.482,0.32331653,J Biol Chem
3.973,0.14817147,Am J Physiol-Heart C
1.577,0.411456807,Int Psychogeriatr
1.286,0.238220849,Retina-J Ret Vit Dis
3.3,0.896595493,Biol Reprod
13.894,0.851486097,Neuron
6.873,0.727636847,Mol Ther
11.088,0.245200012,Plant Cell
4.451,0.738038123,J Neurochem
5.08,0.273689301,Mol Pharmacol
9.907,0.758305281,J Am Chem Soc
3.806,0.365233212,Eukaryot Cell
10.231,0.313362734,P Natl Acad Sci Usa
10.452,1.179344037,P Natl Acad Sci Usa
4.148,0.480211154,Invest Ophth Vis Sci
7.115,0.505226539,J Neurosci
4.033,0.907832002,Infect Immun
5.025,0.519463937,Neoplasia
2.139,0.141976164,Neurochem Res
2.536,0.899867165,Bmc Infect Dis
5.646,0.57988349,Anal Chem
9.432,0.769462934,P Natl Acad Sci Usa
4.219,0.305469744,J Org Chem
3.501,1.123300362,Thromb Haemostasis
13.853,5.459658234,J Exp Med
6.482,0.889856986,J Biol Chem
6.373,1.423693729,Oncogene
28.103,8.220298865,Science
6.516,1.21018271,J Am Chem Soc
3.256,0.437391921,Am J Prev Med
4.533,0.582501252,J Cognitive Neurosci
3.968,0.215773704,Psychosom Med
6.401,0.707829252,Faseb J
4.25,0.991820233,Neurogenetics
3.556,1.200706901,Neuroscience
7.404,0.656285445,Biomaterials
2.937,0.279139324,Protein Sci
2.041,0.371018973,Mol Reprod Dev
3.616,0.349310392,Vaccine
8.427,1.776627569,Angew Chem Int Edit
9.771,2.19387144,P Natl Acad Sci Usa
3.287,0.257561136,Anal Biochem
7.514,1.124675022,Cancer Res
1.392,0.271379212,Method Enzymol
3.422,0.981448695,Biochemistry-Us
1.881,0.052706277,J Gastrointest Surg
1.8,0.564860237,Ieee T Ultrason Ferr
4.272,1.147193564,J Physiol-London
36.28,1.902244447,Nature
4.773,0.195183822,J Biol Chem
8.286,1.30237476,Diabetes
5.712,0.638901529,Anal Chem
3.071,0.465626346,Behav Neurosci
5.542,0.244936411,J Mol Biol
4.472,0.126008193,J Mol Biol
31.201,2.165318277,Science
10.124,1.18259923,Embo J
5.581,0.299538355,J Biol Chem
13.26,0.57152743,Neuron
2.229,0.157953414,Ann Thorac Surg
4.404,1.22134949,J Child Psychol Psyc
2.966,0.228244672,Dev Neurosci-Basel
4.337,0.616138828,J Pharmacol Exp Ther
4.272,0.520827722,J Physiol-London
3.158,1.655630478,Dev Psychopathol
2.695,0.07457099,Exp Eye Res
2.074,0.398400255,Wound Repair Regen
9.681,0.703288721,P Natl Acad Sci Usa
13.41,1.514592983,Neuron
36.104,2.092888504,Nature
1.677,0.715800807,Pediatr Anesth
5.599,0.571363082,Neurobiol Aging
4.165,1.094915097,Infect Immun
1.655,0.557183883,Arch Oral Biol
8.876,0.470298686,Am J Resp Crit Care
1.928,1.300942365,Paediatr Perinat Ep
16.107,3.594246864,Cell Metab
5.15,0.466958758,J Virol
6.495,0.29016169,Oncogene
4.276,0.253464184,Genetics
7.822,0.490792131,Mol Cell Biol
4.642,0.80481596,Cancer Epidem Biomar
5.52,0.04862955,J Biol Chem
3.007,0.452597411,Neurosurgery
7.696,0.426017428,J Am Chem Soc
3.681,0.998743848,Am J Physiol-Gastr L
5.52,0.390760914,J Biol Chem
14.776,1.645855285,J Exp Med
6.954,0.270141028,Nucleic Acids Res
3.471,0.057301096,Cancer Sci
2.844,0.733409486,Bju Int
5.673,0.225369433,Am J Pathol
6.068,0.33351696,J Immunol
1.127,0.525973511,Vet Comp Oncol
4.214,0.455836172,Am J Physiol-Lung C
6.482,1.441846133,J Biol Chem
2.855,1.293806952,Biochem Bioph Res Co
5.213,1.706472398,Mol Microbiol
12.903,0.854595168,Mol Cell
5.328,0.857215309,J Biol Chem
4.764,1.208544627,J Physiol-London
4.722,1.238286449,Toxicol Appl Pharm
9.771,0.776683061,P Natl Acad Sci Usa
5.155,0.929476581,Biochem J
28.878,1.311784629,Nat Med
5.351,1.097702854,Dev Biol
7.543,1.003794286,Cancer Res
15.141,0.892958276,Nat Neurosci
5.228,0.45623022,J Cell Mol Med
6.42,0.97512135,Mol Cell Biol
1,0.197363799,Digest Dis
5.854,0.673016715,J Biol Chem
15.302,4.906196439,J Exp Med
3.226,0.599638676,Biochemistry-Us
5.239,0.511993685,J Mol Biol
4.218,0.377216897,Biophys J
2.681,0.578090219,Int J Oncol
1.693,0.630981599,Acta Crystallogr D
6.051,0.49146416,Rna
6.193,0.788193115,Kidney Int
8.649,0.024433382,Cancer Res
9.771,1.860425451,P Natl Acad Sci Usa
17.148,2.409925679,Cell Metab
4.175,0.519864251,J Bacteriol
3.056,0.875691164,Neurodegener Dis
0.583,0.919660773,Ann Endocrinol-Paris
5.52,0.877284949,J Biol Chem
6.903,0.877952483,J Am Chem Soc
2.375,0.127303472,Neuroepidemiology
5.114,0.771936909,J Cell Mol Med
3.837,0.476655861,J Pediatr
4.683,1.124137284,Biophys J
4.463,1.580350495,Biophys J
10.37,0.710445699,Blood
7.349,0.827898942,Diabetes Care
5.52,0.744411502,J Biol Chem
22.233,0.662549085,Annu Rev Genet
7.866,1.336544951,Arthritis Rheum-Us
10.272,0.787164383,P Natl Acad Sci Usa
4.167,0.308114908,Curr Top Med Chem
2.891,0.577828601,Physiol Behav
1.559,0.061206456,Leukemia Lymphoma
3.044,0.835496554,Microbiol-Sgm
4.351,0.601063902,Plos One
14.345,3.294345512,Nat Neurosci
5.854,2.282653479,J Biol Chem
31.253,7.89690578,Cell
5.84,0.415776231,Rna
7.885,2.073504743,J Am Chem Soc
2.92,0.317064855,J Neuroendocrinol
3.953,1.105015788,Curr Alzheimer Res
5.361,0.99951215,Mol Microbiol
10.896,0.2437537,Blood
5.248,1.277660767,J Med Chem
7.235,0.264105634,Arterioscl Throm Vas
3.817,0.537958752,Am J Physiol-Cell Ph
3.224,0.211330785,Stem Cells Dev
4.819,0.463615193,Mol Microbiol
5.581,0.703713168,J Biol Chem
2.877,0.418963627,Cancer Cause Control
12.563,3.208516717,Circulation
8.273,1.368210851,Mol Interv
3.643,0.916477364,Am J Physiol-Heart C
8.266,0.46841972,Clin Infect Dis
9.771,0.861001674,P Natl Acad Sci Usa
4.538,0.844517201,Gene Ther
6.057,0.514802955,Mol Cell Biol
4.518,0.350509298,Neurobiol Dis
8.091,0.314660482,J Am Chem Soc
3.573,1.699250049,Phys Chem Chem Phys
12.563,0.116051351,Circulation
6.44,0.58943371,Oncogene
9.232,5.013587954,Brain
31.377,2.642778515,Science
6.482,2.051111997,J Biol Chem
2.527,0.601145821,Pharmacol Biochem Be
9.921,1.691898404,J Cell Biol
5.52,0.824136025,J Biol Chem
7.671,1.87273489,Plos Genet
7.506,1.942014467,J Neurosci
2.711,0.530167268,Cancer Biol Ther
7.093,0.515343163,Mol Cell Biol
5.808,1.012764469,J Biol Chem
1.816,0.132150635,Pediatr Pulm
31.377,3.440007278,Science
6.202,0.257026588,Nanomedicine-Uk
10.231,2.156304011,P Natl Acad Sci Usa
4.608,1.321235004,Am J Resp Cell Mol
12.629,1.40041299,Am J Hum Genet
4.146,0.674630584,J Bacteriol
3.313,0.46408169,Magnet Reson Med
3.924,0.260060297,Neuropsychologia
2.351,0.36784211,Neuroreport
4.977,0.224732215,Gene Ther
1.584,0.146228999,Hearing Res
6.177,0.421254089,Clin Cancer Res
3.716,0.596150282,Eur J Pain
6.516,1.049563132,J Am Chem Soc
2.929,0.198613956,Brain Lang
5.907,0.559610729,Cereb Cortex
4.802,0.866004979,Org Lett
2.694,0.993740492,J Magn Reson Imaging
3.249,0.789289638,Toxicol Lett
5.808,1.536077779,J Biol Chem
4.514,0.493368571,Hum Gene Ther
3.385,0.227019839,Eur J Neurosci
3.699,0.394650683,Sleep Med
16.835,0.460475634,Mol Cell
3.539,0.627675616,Am J Physiol-Heart C
11.602,0.808331876,J Cell Biol
4.003,0.497357468,J Pharmacol Exp Ther
2.389,0.053206152,Brain Res
11.632,5.980264806,Circulation
7.178,0.446265066,J Neurosci
2.879,0.361572903,Exp Gerontol
5.226,1.035334895,Mol Cancer Ther
5.559,0.638701917,Neuroimage
9.643,2.198946317,P Natl Acad Sci Usa
6.354,1.297081258,Sci Signal
12.032,1.051638537,Gastroenterology
3.766,0.226769543,Invest Ophth Vis Sci
4.535,0.976855633,J Invest Dermatol
5.308,0.542109415,J Virol
0.868,0.811286569,J School Health
3.661,0.639799982,Eur Neuropsychopharm
5.646,0.248296731,Anal Chem
4.008,0.220266538,J Mol Biol
3.606,0.312649103,Clin Immunol
2.784,1.358483097,J Biomech
7.69,0.69805404,Cancer Res
1.341,0.328213969,J Urban Health
4.659,0.25215456,Org Lett
2.333,0.298397462,Bioorg Med Chem Lett
4.246,1.672616238,Antimicrob Agents Ch
1.835,0.314020211,Immunol Allergy Clin
4.31,3.4745045,Cancer Epidem Biomar
4.233,2.353625738,J Consult Clin Psych
10.231,3.157869275,P Natl Acad Sci Usa
2.352,0.418355549,Neuroepidemiology
3.744,1.080008276,Cancer Gene Ther
14.595,0.116013694,Circulation
7.235,0.420369005,Arterioscl Throm Vas
2.195,1.352405809,Exp Brain Res
4.926,0.172111864,Int J Cancer
2.604,0.355491918,Pediatr Res
4.516,0.452856742,Hippocampus
4.46,1.165356939,Cancer Epidem Biomar
4.683,1.084116988,Biophys J
7.194,0.648194514,Hypertension
3.933,0.771702779,Infect Immun
6.829,1.312891011,Autophagy
9.023,1.783106295,J Am Chem Soc
2.132,0.125572653,Acta Biomater
3.709,0.173490156,Eur J Neurosci
10.231,0.444603647,P Natl Acad Sci Usa
4.334,0.698873384,Am J Physiol-Cell Ph
2.554,0.303075754,Bioorg Med Chem Lett
5.332,0.78972746,J Virol
9.598,2.592108768,P Natl Acad Sci Usa
10.555,0.889867146,Blood
3.915,0.494328068,J Comp Neurol
8.848,2.676418349,Diabetes
3.241,0.549525268,Am J Public Health
4.009,0.180529361,J Nutr
12.563,0.015231583,Circulation
10.555,3.207200909,Blood
13.868,2.018406724,Plos Biol
3.072,0.254982122,Eur J Clin Nutr
6.296,0.818562292,Stroke
2.076,1.087804138,J Magn Reson
7.543,0.458806177,Cancer Res
3.653,0.336538967,Biophys J
3.379,0.331587289,Biochemistry-Us
5.808,0.8043804,J Biol Chem
10.031,1.38473478,Angew Chem Int Edit
2.605,0.183842534,Ann Biomed Eng
14.307,1.431717259,J Clin Invest
5.52,0.541880833,J Biol Chem
3.5,0.763700916,J Gerontol A-Biol
2.981,1.594049341,J Exp Biol
3.652,1.853581185,J Neurophysiol
6.207,1.159801175,Hypertension
4.148,0.362945586,Exp Cell Res
9.161,1.428605624,Angew Chem Int Edit
2.458,0.831663702,Growth Factors
4.003,0.143638126,J Pharmacol Exp Ther
4.604,0.606454729,J Neurochem
4.289,0.549430424,Genetics
3.368,0.462572066,Biochemistry-Us
11.901,1.138439354,Curr Biol
1.044,0.419037801,J Speech Lang Hear R
6.486,1.026101732,J Immunol
5.715,0.53906273,Clin Cancer Res
9.432,0.654560456,P Natl Acad Sci Usa
5.359,0.928400583,Cell Cycle
8.876,0.890452113,Am J Resp Crit Care
3.658,0.46226566,Eur J Neurosci
3.774,2.642303343,J Comp Neurol
4.522,0.887239956,Atherosclerosis
3.743,0.561250558,Drug Metab Dispos
17.013,0.820882872,Gene Dev
9.408,1.148615879,Circ Res
5.581,0.596859058,J Biol Chem
5.861,0.746304783,Mol Biol Cell
3.431,0.519589211,Am J Physiol-Gastr L
2.648,0.128860742,Biochem Bioph Res Co
4.579,0.204515276,Philos T R Soc B
9.432,1.122228379,P Natl Acad Sci Usa
9.575,0.771907366,J Cell Biol
4.155,2.515623904,Evolution
6.873,1.296424743,Mol Ther
2.754,0.149886535,Gene
2.333,1.582860749,J Stud Alcohol
3.556,0.893059078,Dev Psychol
5.581,0.967033491,J Biol Chem
10.558,0.614680209,Blood
5.328,0.439315447,J Biol Chem
6.368,0.224928716,Arterioscl Throm Vas
2.901,0.42417089,J Neuroimmunol
2.22,0.219720419,Head Neck-J Sci Spec
5.369,1.637711563,Neuropsychopharmacol
5.558,0.389019046,Mol Biol Cell
3.824,0.281318213,Liver Int
1.764,1.018971304,Mol Cell Biochem
1.318,0.051708723,Rev Bras Psiquiatr
4.922,0.245516953,Kidney Int
3.939,0.820597401,Am J Physiol-Lung C
1.502,0.640179058,Hearing Res
5.423,0.531900506,J Pathol
4.626,0.227156973,J Leukocyte Biol
4.008,0.897642796,J Mol Biol
7.871,0.263455869,Stem Cells
3.814,0.779070007,Toxicol Sci
5.063,1.095616049,Endocrinology
7.453,0.728006432,J Neurosci
6.355,0.862778949,J Biol Chem
4.008,0.660534432,Biochemistry-Us
10.951,1.939966024,J Cell Biol
3.724,0.336896079,Prostate
31.253,1.719642952,Cell
